"Gender","Age","City","Gov_Assistance","Education_Level","Physical_Activity","Breakfast_Frequency","Whole_Grain_Consumption","Dairy_Products_Consumption","Caffeine_Consumption","Fruits_Consumption","Vegetables_Consumption","Fish_Consumption","Food Security Score","Resilience Score","Stress Mindset Score","Mental Distress Score","FC"
"Female","18-22","Amman","No","High School","3 times","Never","4 times","4 times","5 times or more","3 times","2 times","1 time",0,22,19,34,"high"
"Male","18-22","Aqaba","No","High School","6-7 times","6 or 7 times","5 times or more","5 times or more","3 times","4 times","3 times","1 time",0,19,19,28,"high"
"Female","50 and older","Amman","Yes","High School","4 times","3 times","5 times or more","3 times","5 times or more","5 times or more","4 times","2 times",5,30,10,19,"very low"
"Female","40-49","Amman","No","High School","1 time","2 times","3 times","2 times","5 times or more","3 times","2 times","2 times",0,21,9,30,"high"
"Female","30-39","Irbid","Yes","High School","3 times","4 times","Never","5 times or more","3 times","2 times","5 times or more","1 time",1,26,21,26,"high"
"Female","40-49","Aqaba","No","Undergraduate","3 times","6 or 7 times","5 times or more","3 times","2 times","2 times","2 times","1 time",0,25,20,26,"high"
"Female","18-22","Aqaba","Yes","Undergraduate","3 times","3 times","Never","3 times","Never","5 times or more","2 times","Never",6,19,11,37,"very low"
"Female","18-22","Ajlun","No","Undergraduate","3 times","2 times","1 time","3 times","5 times or more","3 times","2 times","Never",2,23,19,34,"low"
"Male","18-22","Amman","No","Undergraduate","6-7 times","Never","Never","5 times or more","5 times or more","1 time","3 times","1 time",0,16,16,35,"high"
"Female","18-22","Aqaba","No","High School","5 times","6 or 7 times","4 times","4 times","4 times","4 times","4 times","4 times",0,19,16,30,"high"
"Female","18-22","Amman","No","High School","1 time","3 times","2 times","Never","Never","1 time","3 times","Never",4,25,18,27,"low"
"Female","18-22","Aqaba","No","High School","4 times","2 times","1 time","5 times or more","3 times","4 times","Never","Never",0,6,10,40,"high"
"Female","18-22","Ajlun","No","High School","4 times","5 times","5 times or more","5 times or more","2 times","3 times","3 times","1 time",1,26,21,29,"high"
"Male","50 and older","Irbid","No","Undergraduate","6-7 times","6 or 7 times","5 times or more","4 times","5 times or more","3 times","2 times","1 time",1,18,10,29,"high"
"Female","18-22","Amman","No","High School","4 times","1 time","Never","5 times or more","3 times","2 times","2 times","Never",0,23,11,27,"high"
"Female","18-22","Irbid","No","Undergraduate","6-7 times","3 times","Never","5 times or more","Never","3 times","2 times","Never",1,16,10,39,"high"
"Female","18-22","Amman","No","High School","None","2 times","Never","5 times or more","2 times","3 times","1 time","1 time",0,13,13,38,"high"
"Female","18-22","Amman","No","Undergraduate","4 times","Never","1 time","3 times","1 time","2 times","3 times","Never",0,18,13,33,"high"
"Female","18-22","Ajlun","No","Undergraduate","4 times","Never","2 times","4 times","3 times","3 times","Never","Never",0,17,16,27,"high"
